Species,Country.of.Origin,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Color
0,Ethiopia,8.67,8.83,8.67,8.75,8.5,8.42,Green
0,Ethiopia,8.75,8.67,8.5,8.58,8.42,8.42,Green
0,Guatemala,8.42,8.5,8.42,8.42,8.33,8.42,Green
0,Ethiopia,8.17,8.58,8.42,8.42,8.5,8.25,Green
0,Ethiopia,8.25,8.5,8.25,8.5,8.42,8.33,Green
0,Peru,8.42,8.5,8.33,8.5,8.25,8.25,Bluish-Green
0,Ethiopia,8.25,8.33,8.5,8.42,8.33,8.5,Bluish-Green
0,Ethiopia,8.67,8.67,8.58,8.42,8.33,8.42,Green
0,Ethiopia,8.08,8.58,8.5,8.5,7.67,8.42,Green
0,Ethiopia,8.17,8.67,8.25,8.5,7.75,8.17,Green
0,United States,8.25,8.42,8.17,8.33,8.08,8.17,Green
0,United States,8.08,8.67,8.33,8.42,8.0,8.08,Green
0,United States (Hawaii),8.33,8.42,8.08,8.25,8.25,8.0,Green
0,Ethiopia,8.25,8.33,8.5,8.25,8.58,8.75,Green
0,United States,8.0,8.5,8.58,8.17,8.17,8.0,Green
0,Indonesia,8.33,8.25,7.83,7.75,8.5,8.42,Green
0,Ethiopia,8.17,8.33,8.25,8.33,8.42,8.33,Green
0,China,8.42,8.25,8.08,8.17,7.92,8.0,Green
0,Ethiopia,8.17,8.17,8.0,8.17,8.08,8.33,Green
0,United States,8.0,8.25,8.08,8.5,8.25,8.0,None
0,Costa Rica,8.08,8.25,8.0,8.17,8.0,8.33,Green
0,Mexico,8.17,8.25,8.17,8.0,7.83,8.17,Green
0,United States,8.25,8.33,8.17,8.17,7.83,8.17,Bluish-Green
0,Ethiopia,8.42,8.17,7.92,8.17,8.33,8.0,Bluish-Green
0,Brazil,8.5,8.5,8.0,8.0,8.0,8.0,Green
1,Uganda,7.83,8.08,7.75,7.92,8.25,7.92,Green
1,India,8.0,7.75,7.92,8.0,7.92,7.92,Green
1,India,7.92,7.83,7.92,8.0,7.83,7.92,Green
1,Uganda,8.0,7.92,7.92,7.75,7.83,7.75,Green
1,Uganda,8.33,7.83,7.83,7.75,8.25,7.75,Green
1,India,8.0,7.92,7.67,8.0,7.75,7.92,Green
1,India,7.67,7.75,7.83,7.83,7.92,7.75,Green
1,India,7.67,7.75,7.83,7.67,7.92,7.83,Bluish-Green
1,India,7.67,7.75,7.58,7.83,7.83,8.0,Green
1,Uganda,7.67,7.83,7.83,7.83,7.92,7.75,Green
1,Uganda,7.58,7.92,7.75,7.83,7.5,7.67,Green
1,India,7.67,7.83,7.75,7.5,7.75,7.58,Green
1,India,7.58,7.58,7.67,7.58,7.67,7.67,Green
1,Uganda,8.0,7.75,7.75,7.58,7.67,7.5,Green
1,Uganda,8.0,7.67,7.75,7.5,7.67,7.58,Green
1,India,7.75,7.75,7.67,7.67,7.58,7.58,Green
1,India,7.5,7.5,7.25,7.83,7.67,7.83,Blue-Green
1,Uganda,7.33,7.58,7.5,7.75,7.75,7.67,Green
1,Uganda,7.83,7.58,7.33,7.67,7.5,7.5,Green
1,Uganda,7.75,7.42,7.33,7.58,7.67,7.58,Green
1,India,7.67,7.67,7.5,7.33,7.58,7.5,Bluish-Green
1,India,7.58,7.42,7.42,7.83,7.42,7.5,Green
1,United States,7.92,7.5,7.42,7.42,7.42,7.42,Green
1,Ecuador,7.5,7.67,7.75,7.75,5.17,5.25,Blue-Green
1,United States,7.33,7.33,7.17,7.42,7.5,7.17,Blue-Green
